investor_id,sip_transaction_count,avg_gap_days,max_gap_days,first_sip_date,last_sip_date,total_sip_amount,status
INV000175,7,83.66666666666667,170.0,2024-01-12,2025-05-28,71320,at-risk
INV000177,8,65.42857142857143,278.0,2024-01-16,2025-04-18,51520,at-risk
INV000180,6,61.8,229.0,2024-05-07,2025-03-12,15924,at-risk
INV000183,9,56.125,216.0,2024-02-20,2025-05-14,86040,at-risk
INV000191,7,56.5,161.0,2024-04-12,2025-03-17,68656,at-risk
INV000194,7,58.0,109.0,2024-05-23,2025-05-06,61857,at-risk
INV000195,6,77.4,114.0,2024-04-08,2025-04-30,21739,at-risk
INV000196,7,69.0,176.0,2024-03-17,2025-05-05,80685,at-risk
INV000201,9,51.125,100.0,2024-01-17,2025-03-01,98278,at-risk
INV000205,8,62.57142857142857,193.0,2024-01-27,2025-04-09,72091,at-risk
INV000210,8,70.71428571428571,163.0,2024-01-14,2025-05-23,93572,at-risk
INV000214,6,94.8,306.0,2024-01-11,2025-04-29,67357,at-risk
INV000217,6,92.0,183.0,2024-02-04,2025-05-09,44146,at-risk
INV000228,9,59.75,188.0,2024-01-10,2025-05-02,239176,at-risk
INV000236,8,67.14285714285714,112.0,2024-01-18,2025-05-02,112217,at-risk
INV000238,6,93.6,287.0,2024-02-08,2025-05-21,146422,at-risk
INV000239,8,48.857142857142854,105.0,2024-04-16,2025-03-24,161292,at-risk
INV000243,6,88.2,137.0,2024-01-25,2025-04-10,58145,at-risk
INV000245,6,92.2,164.0,2024-02-08,2025-05-14,46023,at-risk
INV000249,7,45.5,162.0,2024-04-09,2025-01-07,194759,at-risk
INV000252,6,50.4,96.0,2024-01-25,2024-10-03,103128,at-risk
INV000255,6,48.6,103.0,2024-03-05,2024-11-03,34653,at-risk
INV000256,6,70.2,155.0,2024-03-02,2025-02-16,31902,at-risk
INV000259,6,70.6,165.0,2024-01-25,2025-01-12,81938,at-risk
INV000260,8,59.57142857142857,206.0,2024-01-08,2025-02-28,139633,at-risk
INV000262,8,53.57142857142857,122.0,2024-04-18,2025-04-28,47209,at-risk
INV000263,8,68.42857142857143,271.0,2024-01-11,2025-05-04,157678,at-risk
INV000265,10,53.44444444444444,140.0,2024-01-25,2025-05-20,203433,at-risk
INV000268,7,62.333333333333336,143.0,2024-01-22,2025-01-30,79605,at-risk
INV000279,9,43.375,133.0,2024-03-01,2025-02-11,61623,at-risk
INV000280,9,55.75,191.0,2024-01-22,2025-04-12,145194,at-risk
INV000283,6,68.0,195.0,2024-02-11,2025-01-16,24362,at-risk
INV000287,7,69.83333333333333,301.0,2024-01-17,2025-03-11,64351,at-risk
INV000289,8,62.714285714285715,142.0,2024-01-21,2025-04-04,81640,at-risk
INV000291,6,89.0,196.0,2024-02-13,2025-05-03,76178,at-risk
INV000292,7,46.0,95.0,2024-05-13,2025-02-13,123656,at-risk
INV000293,7,47.0,91.0,2024-01-09,2024-10-17,70574,at-risk
INV000297,6,90.6,163.0,2024-02-01,2025-04-29,22338,at-risk
INV000299,6,85.2,240.0,2024-03-22,2025-05-22,45557,at-risk
INV000304,7,70.0,204.0,2024-02-01,2025-03-27,79554,at-risk
INV000309,8,52.0,157.0,2024-01-08,2025-01-06,63146,at-risk
INV000310,7,75.83333333333333,164.0,2024-02-25,2025-05-25,46368,at-risk
INV000318,6,97.4,175.0,2024-01-29,2025-05-30,69726,at-risk
INV000319,7,73.5,201.0,2024-02-17,2025-05-03,40143,at-risk
INV000321,7,72.83333333333333,204.0,2024-01-03,2025-03-15,91225,at-risk
INV000328,9,37.5,73.0,2024-03-09,2025-01-03,64273,at-risk
INV000331,8,50.714285714285715,163.0,2024-01-23,2025-01-12,124378,at-risk
INV000334,7,25.5,60.0,2024-07-06,2024-12-06,43720,regular
INV000335,6,96.0,279.0,2024-01-25,2025-05-19,68848,at-risk
INV000339,6,94.0,195.0,2024-02-15,2025-05-30,74556,at-risk
INV000341,8,54.42857142857143,191.0,2024-02-18,2025-03-05,76460,at-risk
INV000356,6,54.4,157.0,2024-06-13,2025-03-12,72865,at-risk
INV000359,9,54.125,197.0,2024-02-19,2025-04-27,93451,at-risk
INV000363,7,77.0,153.0,2024-02-12,2025-05-19,59677,at-risk
INV000369,6,43.8,112.0,2024-03-06,2024-10-11,22654,at-risk
INV000371,8,59.285714285714285,147.0,2024-01-18,2025-03-08,71985,at-risk
INV000372,7,54.5,121.0,2024-03-03,2025-01-24,89873,at-risk
INV000380,6,97.0,272.0,2024-01-18,2025-05-17,72700,at-risk
INV000388,9,53.625,119.0,2024-02-27,2025-05-01,109420,at-risk
INV000392,7,77.16666666666667,205.0,2024-02-10,2025-05-18,39530,at-risk
INV000395,7,55.666666666666664,119.0,2024-04-13,2025-03-13,23004,at-risk
INV000396,6,83.2,153.0,2024-01-24,2025-03-15,46049,at-risk
INV000399,10,49.55555555555556,68.0,2024-01-08,2025-03-29,58193,at-risk
INV000400,6,62.6,101.0,2024-05-01,2025-03-10,21256,at-risk
INV000403,6,58.2,90.0,2024-05-30,2025-03-17,74178,at-risk
INV000407,6,82.4,157.0,2024-02-03,2025-03-21,112123,at-risk
INV000408,6,46.8,125.0,2024-04-15,2024-12-05,47374,at-risk
INV000412,8,43.714285714285715,70.0,2024-07-06,2025-05-08,87441,at-risk
INV000414,8,66.28571428571429,233.0,2024-01-12,2025-04-20,95455,at-risk
INV000415,7,66.16666666666667,128.0,2024-03-30,2025-05-01,42775,at-risk
INV000418,6,86.8,238.0,2024-01-16,2025-03-25,113497,at-risk
INV000427,7,68.5,116.0,2024-02-04,2025-03-21,106145,at-risk
INV000428,8,52.142857142857146,164.0,2024-01-01,2024-12-31,54350,at-risk
INV000429,6,77.2,187.0,2024-01-22,2025-02-11,117284,at-risk
INV000437,6,97.8,295.0,2024-01-01,2025-05-04,32739,at-risk
INV000440,8,69.57142857142857,162.0,2024-01-17,2025-05-18,33647,at-risk
INV000441,6,60.8,151.0,2024-06-28,2025-04-28,45638,at-risk
INV000444,6,73.2,129.0,2024-04-26,2025-04-27,76737,at-risk
INV000445,9,57.75,129.0,2024-01-24,2025-04-30,52898,at-risk
INV000446,6,38.6,101.0,2024-02-13,2024-08-24,31195,at-risk
INV000449,6,46.8,70.0,2024-06-13,2025-02-02,59567,at-risk
INV000452,9,49.375,123.0,2024-03-09,2025-04-08,84270,at-risk
INV000457,6,91.4,256.0,2024-02-25,2025-05-27,32725,at-risk
INV000460,6,43.4,107.0,2024-03-02,2024-10-05,35369,at-risk
INV000463,7,65.16666666666667,181.0,2024-01-09,2025-02-03,144163,at-risk
INV000466,7,73.33333333333333,135.0,2024-01-26,2025-04-10,125151,at-risk
INV000467,10,56.666666666666664,272.0,2024-01-01,2025-05-25,65408,at-risk
INV000469,7,70.5,183.0,2024-03-30,2025-05-27,34180,at-risk
INV000483,8,70.42857142857143,252.0,2024-01-18,2025-05-25,142115,at-risk
INV000491,6,95.0,202.0,2024-02-02,2025-05-22,43008,at-risk
INV000493,10,47.55555555555556,201.0,2024-03-01,2025-05-03,130085,at-risk
INV000497,7,71.83333333333333,191.0,2024-03-23,2025-05-28,72087,at-risk
INV000499,7,77.83333333333333,157.0,2024-01-28,2025-05-09,127344,at-risk
INV000507,7,70.16666666666667,249.0,2024-02-27,2025-04-23,58920,at-risk
INV000512,9,54.75,112.0,2024-02-18,2025-05-01,73426,at-risk
INV000522,6,100.8,309.0,2024-01-12,2025-05-30,28275,at-risk
INV000524,7,55.0,91.0,2024-06-19,2025-05-15,118571,at-risk
INV000527,6,50.8,116.0,2024-09-07,2025-05-19,115570,at-risk
INV000529,6,59.2,110.0,2024-06-08,2025-03-31,23027,at-risk
INV000531,7,47.0,82.0,2024-07-19,2025-04-27,151584,at-risk
INV000539,7,77.0,153.0,2024-01-26,2025-05-02,107371,at-risk
INV000540,7,73.5,123.0,2024-02-19,2025-05-05,78276,at-risk
INV000543,7,83.66666666666667,218.0,2024-01-11,2025-05-27,162711,at-risk
INV000545,6,80.6,181.0,2024-03-27,2025-05-04,48548,at-risk
INV000546,9,55.0,154.0,2024-01-14,2025-03-29,92002,at-risk
INV000547,6,55.8,140.0,2024-03-15,2024-12-19,37135,at-risk
INV000549,6,96.2,146.0,2024-01-19,2025-05-14,86784,at-risk
INV000553,6,72.0,172.0,2024-04-22,2025-04-17,54698,at-risk
INV000554,6,70.2,171.0,2024-02-18,2025-02-03,56741,at-risk
INV000556,8,52.42857142857143,156.0,2024-03-07,2025-03-09,126416,at-risk
INV000562,6,74.4,197.0,2024-03-08,2025-03-15,48292,at-risk
INV000563,7,76.33333333333333,198.0,2024-02-13,2025-05-16,59358,at-risk
INV000566,7,35.0,119.0,2024-08-24,2025-03-22,120009,regular
INV000567,6,63.8,166.0,2024-05-14,2025-03-29,33277,at-risk
INV000568,6,62.4,180.0,2024-03-13,2025-01-19,106953,at-risk
INV000570,8,67.28571428571429,186.0,2024-02-12,2025-05-28,136242,at-risk
INV000573,7,50.833333333333336,154.0,2024-01-27,2024-11-27,114632,at-risk
INV000575,6,71.6,155.0,2024-03-17,2025-03-10,43192,at-risk
INV000578,7,66.83333333333333,164.0,2024-04-21,2025-05-27,91996,at-risk
INV000581,7,78.33333333333333,160.0,2024-01-30,2025-05-14,58863,at-risk
INV000586,7,44.5,111.0,2024-01-23,2024-10-16,138122,at-risk
INV000589,9,59.125,90.0,2024-02-01,2025-05-19,69345,at-risk
INV000591,7,64.5,112.0,2024-04-15,2025-05-07,15867,at-risk
INV000593,6,74.2,179.0,2024-03-27,2025-04-02,31078,at-risk
INV000596,9,51.75,140.0,2024-02-01,2025-03-21,169915,at-risk
INV000597,6,88.6,198.0,2024-02-03,2025-04-21,82488,at-risk
INV000599,7,81.5,171.0,2024-01-13,2025-05-16,103758,at-risk
INV000607,7,66.66666666666667,209.0,2024-01-14,2025-02-17,38693,at-risk
INV000608,6,100.2,324.0,2024-01-09,2025-05-24,45475,at-risk
INV000609,6,47.0,87.0,2024-01-01,2024-08-23,44212,at-risk
INV000612,11,49.3,169.0,2024-01-16,2025-05-23,123648,at-risk
INV000615,7,55.833333333333336,139.0,2024-03-15,2025-02-13,29577,at-risk
INV000624,7,31.666666666666668,53.0,2024-01-31,2024-08-08,131937,regular
INV000625,6,86.4,134.0,2024-03-22,2025-05-28,23397,at-risk
INV000630,7,68.66666666666667,161.0,2024-01-31,2025-03-18,55182,at-risk
INV000631,6,54.0,145.0,2024-03-06,2024-12-01,45319,at-risk
INV000634,9,52.25,147.0,2024-01-22,2025-03-15,98595,at-risk
INV000635,6,75.0,240.0,2024-03-13,2025-03-23,30163,at-risk
INV000641,6,54.8,126.0,2024-08-03,2025-05-04,92825,at-risk
INV000642,9,53.5,139.0,2024-03-19,2025-05-21,109817,at-risk
INV000645,6,66.0,127.0,2024-02-12,2025-01-07,26646,at-risk
INV000646,7,62.333333333333336,138.0,2024-05-17,2025-05-26,76212,at-risk
INV000651,6,94.0,304.0,2024-01-20,2025-05-04,34381,at-risk
INV000652,6,93.8,262.0,2024-02-09,2025-05-23,34837,at-risk
INV000657,8,64.71428571428571,106.0,2024-01-28,2025-04-25,103388,at-risk
INV000662,8,66.14285714285714,185.0,2024-01-02,2025-04-09,34238,at-risk
INV000663,6,94.4,247.0,2024-01-04,2025-04-20,83316,at-risk
INV000665,10,36.22222222222222,148.0,2024-05-22,2025-04-13,56140,at-risk
INV000667,6,68.0,134.0,2024-05-21,2025-04-26,117715,at-risk
INV000673,6,92.8,235.0,2024-01-13,2025-04-21,145533,at-risk
INV000675,6,62.8,155.0,2024-06-09,2025-04-19,23160,at-risk
INV000676,11,35.3,106.0,2024-05-10,2025-04-28,174741,at-risk
INV000678,7,63.333333333333336,140.0,2024-04-12,2025-04-27,36623,at-risk
INV000683,9,54.5,137.0,2024-01-08,2025-03-19,47678,at-risk
INV000690,8,56.285714285714285,134.0,2024-04-23,2025-05-22,169171,at-risk
INV000691,6,66.4,163.0,2024-01-27,2024-12-24,50363,at-risk
INV000698,9,52.25,219.0,2024-02-20,2025-04-13,77848,at-risk
INV000699,6,42.8,147.0,2024-03-27,2024-10-27,51568,at-risk
INV000701,7,83.66666666666667,298.0,2024-01-13,2025-05-29,51486,at-risk
INV000707,9,34.375,106.0,2024-08-07,2025-05-09,50988,regular
INV000709,7,65.16666666666667,128.0,2024-02-07,2025-03-04,143724,at-risk
INV000710,6,88.6,264.0,2024-02-27,2025-05-15,62975,at-risk
INV000714,9,37.0,95.0,2024-06-07,2025-03-30,47519,at-risk
INV000718,7,57.833333333333336,118.0,2024-01-16,2024-12-28,52719,at-risk
INV000719,7,72.83333333333333,185.0,2024-02-29,2025-05-11,131252,at-risk
INV000724,6,81.2,227.0,2024-04-11,2025-05-22,33281,at-risk
INV000725,7,67.66666666666667,92.0,2024-03-14,2025-04-24,89962,at-risk
INV000734,8,64.0,180.0,2024-02-22,2025-05-15,108076,at-risk
INV000737,6,92.6,168.0,2024-01-31,2025-05-08,146341,at-risk
INV000747,6,84.6,205.0,2024-01-25,2025-03-23,86939,at-risk
INV000750,9,26.5,84.0,2024-08-03,2025-03-03,95979,regular
INV000751,9,53.0,193.0,2024-03-29,2025-05-27,42163,at-risk
INV000754,7,72.33333333333333,103.0,2024-03-02,2025-05-10,97616,at-risk
INV000759,7,83.0,156.0,2024-01-08,2025-05-20,44038,at-risk
INV000761,7,75.16666666666667,173.0,2024-02-26,2025-05-22,115474,at-risk
INV000768,8,60.0,124.0,2024-01-17,2025-03-12,81075,at-risk
INV000772,6,46.0,81.0,2024-06-15,2025-01-31,88779,at-risk
INV000774,7,73.66666666666667,169.0,2024-02-16,2025-05-03,83715,at-risk
INV000776,8,59.42857142857143,116.0,2024-03-07,2025-04-27,40424,at-risk
INV000777,6,66.0,121.0,2024-03-05,2025-01-29,20946,at-risk
INV000778,8,59.714285714285715,182.0,2024-03-22,2025-05-14,99237,at-risk
INV000779,6,75.0,153.0,2024-03-21,2025-03-31,12215,at-risk
INV000783,6,89.8,187.0,2024-02-14,2025-05-08,138175,at-risk
INV000785,6,32.6,66.0,2024-10-10,2025-03-22,29312,regular
INV000786,9,64.125,199.0,2024-01-01,2025-05-28,73859,at-risk
INV000789,8,55.142857142857146,225.0,2024-02-29,2025-03-21,110683,at-risk
INV000793,8,69.14285714285714,149.0,2024-01-14,2025-05-12,105129,at-risk
INV000803,7,77.16666666666667,147.0,2024-01-04,2025-04-11,75412,at-risk
INV000814,6,94.0,195.0,2024-01-15,2025-04-29,111708,at-risk
INV000822,7,55.5,141.0,2024-02-02,2024-12-31,68933,at-risk
INV000823,7,39.666666666666664,69.0,2024-02-21,2024-10-16,49395,at-risk
INV000827,8,58.285714285714285,122.0,2024-04-05,2025-05-18,46159,at-risk
INV000830,6,72.2,165.0,2024-04-21,2025-04-17,77141,at-risk
INV000833,8,67.28571428571429,182.0,2024-01-08,2025-04-23,88699,at-risk
INV000836,6,84.8,123.0,2024-01-01,2025-02-28,127974,at-risk
INV000843,6,55.6,102.0,2024-05-01,2025-02-03,49484,at-risk
INV000844,7,66.16666666666667,151.0,2024-02-09,2025-03-12,48647,at-risk
INV000847,6,47.8,75.0,2024-05-28,2025-01-22,20771,at-risk
INV000853,10,49.333333333333336,193.0,2024-01-22,2025-04-10,61865,at-risk
INV000854,9,61.25,170.0,2024-01-05,2025-05-09,149355,at-risk
INV000858,9,44.875,157.0,2024-04-27,2025-04-21,70918,at-risk
INV000862,6,91.2,372.0,2024-02-13,2025-05-14,119139,at-risk
INV000864,6,40.8,106.0,2024-01-16,2024-08-07,72191,at-risk
INV000865,9,45.75,99.0,2024-04-15,2025-04-16,164885,at-risk
INV000869,6,65.4,100.0,2024-02-27,2025-01-19,29400,at-risk
INV000873,7,73.5,299.0,2024-02-09,2025-04-25,44839,at-risk
INV000874,9,62.125,149.0,2024-01-04,2025-05-15,38895,at-risk
INV000877,6,59.4,159.0,2024-06-21,2025-04-14,116062,at-risk
INV000881,10,46.111111111111114,155.0,2024-01-10,2025-02-28,61437,at-risk
INV000887,7,65.66666666666667,268.0,2024-01-28,2025-02-25,115877,at-risk
INV000888,7,80.33333333333333,166.0,2024-01-27,2025-05-23,98413,at-risk
INV000893,7,59.5,147.0,2024-02-05,2025-01-27,93208,at-risk
INV000894,6,55.0,105.0,2024-07-26,2025-04-27,36994,at-risk
INV000901,6,54.0,95.0,2024-05-23,2025-02-17,36100,at-risk
INV000907,6,59.2,139.0,2024-04-08,2025-01-29,26520,at-risk
INV000920,6,75.6,220.0,2024-01-31,2025-02-12,97652,at-risk
INV000926,6,80.0,111.0,2024-01-05,2025-02-08,67012,at-risk
INV000929,7,58.166666666666664,116.0,2024-03-28,2025-03-12,150139,at-risk
INV000930,8,32.42857142857143,118.0,2024-07-19,2025-03-03,92989,regular
INV000935,9,30.875,73.0,2024-02-12,2024-10-16,152824,regular
INV000939,8,60.57142857142857,154.0,2024-02-23,2025-04-22,69507,at-risk
INV000942,7,53.0,92.0,2024-03-09,2025-01-21,138493,at-risk
INV000949,7,67.5,135.0,2024-04-03,2025-05-13,49784,at-risk
INV000950,6,91.0,215.0,2024-02-26,2025-05-26,37182,at-risk
INV000971,7,46.833333333333336,139.0,2024-08-08,2025-05-16,38940,at-risk
INV000974,7,73.5,143.0,2024-01-06,2025-03-22,40022,at-risk
INV000977,10,48.77777777777778,147.0,2024-01-13,2025-03-27,129735,at-risk
INV000979,6,79.8,115.0,2024-04-08,2025-05-12,141450,at-risk
INV000980,8,44.42857142857143,121.0,2024-04-26,2025-03-03,208518,at-risk
INV000981,6,50.4,104.0,2024-09-11,2025-05-21,68442,at-risk
INV000986,7,60.833333333333336,182.0,2024-02-28,2025-02-27,166388,at-risk
INV000994,6,63.8,167.0,2024-02-20,2025-01-04,55817,at-risk
INV001001,8,60.285714285714285,137.0,2024-02-15,2025-04-12,67731,at-risk
INV001002,7,41.666666666666664,85.0,2024-04-01,2024-12-07,38098,at-risk
INV001005,6,93.6,206.0,2024-02-07,2025-05-20,74535,at-risk
INV001008,7,64.66666666666667,191.0,2024-02-16,2025-03-10,63227,at-risk
INV001013,6,96.8,164.0,2024-01-09,2025-05-07,81838,at-risk
INV001017,6,67.0,142.0,2024-03-18,2025-02-16,27846,at-risk
INV001019,9,44.875,180.0,2024-02-19,2025-02-12,62583,at-risk
INV001021,7,68.66666666666667,186.0,2024-01-08,2025-02-23,54295,at-risk
INV001023,8,72.42857142857143,202.0,2024-01-01,2025-05-22,38036,at-risk
INV001025,6,38.8,76.0,2024-07-19,2025-01-29,77009,at-risk
INV001026,6,69.4,132.0,2024-02-04,2025-01-16,51600,at-risk
INV001037,10,42.0,86.0,2024-02-26,2025-03-10,73922,at-risk
INV001039,6,66.2,187.0,2024-04-10,2025-03-07,19840,at-risk
INV001041,7,83.0,195.0,2024-01-01,2025-05-13,72624,at-risk
INV001047,7,66.16666666666667,142.0,2024-04-24,2025-05-26,52894,at-risk
INV001048,8,47.0,84.0,2024-03-19,2025-02-11,36491,at-risk
INV001051,8,54.142857142857146,139.0,2024-04-02,2025-04-16,57451,at-risk
INV001053,8,55.857142857142854,116.0,2024-02-18,2025-03-15,46140,at-risk
INV001055,6,93.2,177.0,2024-01-14,2025-04-24,77109,at-risk
INV001060,9,53.375,89.0,2024-01-19,2025-03-21,113690,at-risk
INV001061,9,51.125,141.0,2024-02-19,2025-04-03,99794,at-risk
INV001063,8,43.285714285714285,120.0,2024-02-17,2024-12-16,30795,at-risk
INV001064,9,59.5,160.0,2024-01-09,2025-04-29,151648,at-risk
INV001069,8,41.285714285714285,98.0,2024-06-02,2025-03-18,96230,at-risk
INV001070,6,97.0,329.0,2024-01-05,2025-05-04,103923,at-risk
INV001092,7,77.33333333333333,186.0,2024-02-04,2025-05-13,75632,at-risk
INV001099,8,26.142857142857142,63.0,2024-07-28,2025-01-27,135739,regular
INV001102,7,55.333333333333336,87.0,2024-02-06,2025-01-03,87539,at-risk
INV001115,6,81.4,290.0,2024-03-07,2025-04-18,51387,at-risk
INV001116,9,58.125,194.0,2024-02-17,2025-05-27,74728,at-risk
INV001117,8,61.714285714285715,137.0,2024-02-23,2025-04-30,53882,at-risk
INV001130,7,76.83333333333333,131.0,2024-02-08,2025-05-14,139695,at-risk
INV001137,7,57.0,120.0,2024-02-29,2025-02-05,35691,at-risk
INV001140,6,60.4,125.0,2024-04-29,2025-02-25,39628,at-risk
INV001141,6,97.6,132.0,2024-01-27,2025-05-29,34460,at-risk
INV001142,7,42.833333333333336,106.0,2024-04-27,2025-01-09,60116,at-risk
INV001156,6,102.4,175.0,2024-01-02,2025-05-28,51977,at-risk
INV001160,8,57.57142857142857,99.0,2024-04-02,2025-05-10,45043,at-risk
INV001161,6,80.6,159.0,2024-01-23,2025-03-01,146262,at-risk
INV001163,7,67.33333333333333,255.0,2024-01-30,2025-03-09,33877,at-risk
INV001167,6,96.2,207.0,2024-01-03,2025-04-28,78024,at-risk
INV001170,6,68.2,119.0,2024-03-03,2025-02-07,70673,at-risk
INV001173,6,67.0,146.0,2024-05-28,2025-04-28,58382,at-risk
INV001178,7,79.66666666666667,140.0,2024-01-31,2025-05-23,37864,at-risk
INV001180,6,74.4,198.0,2024-03-30,2025-04-06,104216,at-risk
INV001181,8,67.42857142857143,163.0,2024-02-12,2025-05-29,91218,at-risk
INV001190,6,97.0,198.0,2024-01-04,2025-05-03,45744,at-risk
INV001195,8,53.42857142857143,167.0,2024-03-16,2025-03-25,127687,at-risk
INV001196,6,92.2,169.0,2024-02-20,2025-05-26,61840,at-risk
INV001202,8,58.0,103.0,2024-04-09,2025-05-20,54919,at-risk
INV001206,6,83.6,190.0,2024-04-05,2025-05-28,76395,at-risk
INV001208,7,51.833333333333336,107.0,2024-03-13,2025-01-18,68466,at-risk
INV001210,9,36.875,93.0,2024-03-04,2024-12-24,84090,at-risk
INV001217,8,60.142857142857146,205.0,2024-02-29,2025-04-25,99061,at-risk
INV001219,8,50.857142857142854,118.0,2024-03-04,2025-02-23,90473,at-risk
INV001220,7,77.16666666666667,104.0,2024-01-08,2025-04-15,18410,at-risk
INV001223,7,70.83333333333333,175.0,2024-01-27,2025-03-27,81600,at-risk
INV001234,8,60.57142857142857,119.0,2024-01-27,2025-03-26,91103,at-risk
INV001235,9,59.0,161.0,2024-02-03,2025-05-20,125966,at-risk
INV001237,6,98.0,182.0,2024-01-18,2025-05-22,66778,at-risk
INV001238,7,68.5,220.0,2024-03-27,2025-05-12,45560,at-risk
INV001242,6,69.8,128.0,2024-01-19,2025-01-02,26658,at-risk
INV001251,6,82.0,223.0,2024-02-11,2025-03-27,142919,at-risk
INV001262,7,44.833333333333336,116.0,2024-07-06,2025-04-01,135943,at-risk
INV001274,7,73.33333333333333,161.0,2024-03-06,2025-05-20,56609,at-risk
INV001275,7,66.66666666666667,140.0,2024-02-11,2025-03-17,51676,at-risk
INV001282,6,67.0,196.0,2024-06-18,2025-05-19,50374,at-risk
INV001287,6,92.2,157.0,2024-01-09,2025-04-14,74519,at-risk
INV001288,7,45.666666666666664,148.0,2024-04-08,2025-01-07,127240,at-risk
INV001291,6,76.2,181.0,2024-03-27,2025-04-12,118076,at-risk
INV001295,9,50.75,165.0,2024-01-05,2025-02-14,66843,at-risk
INV001298,7,71.83333333333333,158.0,2024-03-14,2025-05-19,13160,at-risk
INV001299,9,51.25,121.0,2024-02-26,2025-04-11,67906,at-risk
INV001304,6,97.6,177.0,2024-01-06,2025-05-08,127605,at-risk
INV001308,9,54.625,147.0,2024-01-29,2025-04-10,145248,at-risk
